Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",131.826000,-70.358000,90.000000,top
"C2","10uF","C_0402_1005Metric",131.826000,-67.081500,90.000000,top
"C3","10uF","C_0402_1005Metric",142.240000,-84.455000,0.000000,top
"C4","100nF","C_0402_1005Metric",142.707500,-93.535500,0.000000,top
"C5","100nF","C_0402_1005Metric",142.199500,-95.123000,0.000000,top
"C6","100nF","C_0402_1005Metric",142.240000,-87.503000,0.000000,top
"C7","100nF","C_0402_1005Metric",137.414000,-82.359500,0.000000,top
"C8","100nF","C_0402_1005Metric",123.126500,-81.493500,90.000000,top
"C9","100nF","C_0402_1005Metric",121.960500,-98.615500,180.000000,top
"C10","100nF","C_0402_1005Metric",138.811000,-101.323000,270.000000,top
"C11","2.2u","C_0603_1608Metric",124.460000,-81.686500,90.000000,top
"C12","2.2u","C_0603_1608Metric",120.929500,-96.837500,180.000000,top
"C13","36p","C_0603_1608Metric",147.193000,-93.345000,0.000000,top
"C14","36p","C_0603_1608Metric",147.193000,-87.757000,180.000000,top
"C15","100nF","C_0402_1005Metric",138.176000,-76.667500,90.000000,top
"C16","100nF","C_0402_1005Metric",146.535000,-75.755500,0.000000,top
"C17","100nF","C_0402_1005Metric",141.836000,-113.665000,0.000000,top
"C18","10u","C_0402_1005Metric",84.033500,-91.821000,0.000000,top
"C19","2.2u","C_0603_1608Metric",75.311000,-81.407000,90.000000,top
"C20","100nF","C_0402_1005Metric",75.628500,-88.877000,270.000000,top
"C21","100nF","C_0402_1005Metric",83.144500,-90.741500,0.000000,top
"C22","2.2u","C_0603_1608Metric",77.559000,-92.392500,180.000000,top
"C23","2.2u","C_0603_1608Metric",77.637500,-90.805000,0.000000,top
"C24","100nF","C_0402_1005Metric",77.828000,-80.391000,180.000000,top
"C25","10u","C_0603_1608Metric",75.819000,-106.553000,270.000000,top
"C26","1u","C_0402_1005Metric",72.667000,-99.314000,0.000000,top
"C27","1u","C_0402_1005Metric",106.527500,-99.060000,0.000000,top
"C28","10u","C_0603_1608Metric",86.995000,-106.553000,90.000000,top
"C29","1u","C_0402_1005Metric",72.667000,-100.457000,180.000000,top
"C30","1u","C_0402_1005Metric",106.527500,-100.330000,180.000000,top
"C31","10u","C_0603_1608Metric",71.755000,-96.240500,270.000000,top
"C32","10u","C_0603_1608Metric",62.357000,-97.256500,90.000000,top
"C33","10u","C_0603_1608Metric",106.553000,-95.783500,270.000000,top
"C34","10u","C_0603_1608Metric",96.901000,-96.748500,90.000000,top
"C35","10u","C_0603_1608Metric",82.042000,-105.156000,0.000000,top
"C36","10u","C_0603_1608Metric",82.016500,-95.631000,180.000000,top
"C37","1u","C_0402_1005Metric",77.724000,-100.355500,90.000000,top
"C38","100nF","C_0402_1005Metric",142.240000,-86.487000,0.000000,top
"C39","1uF","C_0402_1005Metric",142.263000,-85.471000,0.000000,top
"C40","2.2nF","C_0402_1005Metric",80.033000,-93.345000,0.000000,top
"C41","2.2nF","C_0402_1005Metric",82.573000,-93.345000,180.000000,top
"D2","Red","LED_0805_2012Metric",116.220000,-96.012000,0.000000,top
"D3","Blue","LED_0805_2012Metric",116.220000,-99.695000,0.000000,top
"D4","P6SMB6.8CA","D_SMB",72.517000,-106.816000,270.000000,top
"D5","P6SMB6.8CA","D_SMB",90.424000,-106.689000,90.000000,top
"D6","SS210","D_SMA",65.024000,-109.601000,0.000000,top
"D7","SS210","D_SMA",57.690000,-104.267000,0.000000,top
"D8","SS210","D_SMA",57.690000,-109.601000,180.000000,top
