Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",29.527500,-70.104000,90.000000,top
"C2","10uF","C_0402_1005Metric",29.527500,-66.827500,90.000000,top
"C3","10uF","C_0402_1005Metric",39.941500,-84.201000,0.000000,top
"C4","100nF","C_0402_1005Metric",40.409000,-93.281500,0.000000,top
"C5","100nF","C_0402_1005Metric",39.901000,-94.869000,0.000000,top
"C6","100nF","C_0402_1005Metric",39.941500,-87.249000,0.000000,top
"C7","100nF","C_0402_1005Metric",35.115500,-82.105500,0.000000,top
"C8","100nF","C_0402_1005Metric",20.828000,-81.239500,90.000000,top
"C9","100nF","C_0402_1005Metric",19.662000,-98.361500,180.000000,top
"C10","100nF","C_0402_1005Metric",36.512500,-101.069000,270.000000,top
"C11","2.2u","C_0603_1608Metric",22.161500,-81.432500,90.000000,top
"C12","2.2u","C_0603_1608Metric",18.631000,-96.583500,180.000000,top
"C13","36p","C_0603_1608Metric",44.894500,-93.091000,0.000000,top
"C14","36p","C_0603_1608Metric",44.894500,-87.503000,180.000000,top
"C15","100nF","C_0402_1005Metric",35.877500,-76.413500,90.000000,top
"C16","100nF","C_0402_1005Metric",44.236500,-75.501500,0.000000,top
"C17","100nF","C_0402_1005Metric",39.537500,-113.411000,0.000000,top
"C18","10u","C_0402_1005Metric",-18.265000,-91.567000,0.000000,top
"C19","2.2u","C_0603_1608Metric",-26.987500,-81.153000,90.000000,top
"C20","100nF","C_0402_1005Metric",-26.670000,-88.623000,270.000000,top
"C21","100nF","C_0402_1005Metric",-19.154000,-90.487500,0.000000,top
"C22","2.2u","C_0603_1608Metric",-24.739500,-92.138500,180.000000,top
"C23","2.2u","C_0603_1608Metric",-24.661000,-90.551000,0.000000,top
"C24","100nF","C_0402_1005Metric",-24.470500,-80.137000,180.000000,top
"C25","10u","C_0603_1608Metric",-26.479500,-106.299000,270.000000,top
"C26","1u","C_0402_1005Metric",-29.631500,-99.060000,0.000000,top
"C27","1u","C_0402_1005Metric",4.229000,-98.806000,0.000000,top
"C28","10u","C_0603_1608Metric",-15.303500,-106.299000,90.000000,top
"C29","1u","C_0402_1005Metric",-29.631500,-100.203000,180.000000,top
"C30","1u","C_0402_1005Metric",4.229000,-100.076000,180.000000,top
"C31","10u","C_0603_1608Metric",-30.543500,-95.986500,270.000000,top
"C32","10u","C_0603_1608Metric",-39.941500,-97.002500,90.000000,top
"C33","10u","C_0603_1608Metric",4.254500,-95.529500,270.000000,top
"C34","10u","C_0603_1608Metric",-5.397500,-96.494500,90.000000,top
"C35","10u","C_0603_1608Metric",-20.256500,-104.902000,0.000000,top
"C36","10u","C_0603_1608Metric",-20.282000,-95.377000,180.000000,top
"C37","1u","C_0402_1005Metric",-24.574500,-100.101500,90.000000,top
"C38","100nF","C_0402_1005Metric",39.941500,-86.233000,0.000000,top
"C39","1uF","C_0402_1005Metric",39.964500,-85.217000,0.000000,top
"C40","2.2nF","C_0402_1005Metric",-22.265500,-93.091000,0.000000,top
"C41","2.2nF","C_0402_1005Metric",-19.725500,-93.091000,180.000000,top
"D2","Red","LED_0805_2012Metric",13.921500,-95.758000,0.000000,top
"D3","Blue","LED_0805_2012Metric",13.921500,-99.441000,0.000000,top
"D4","P6SMB6.8CA","D_SMB",-29.781500,-106.562000,270.000000,top
"D5","P6SMB6.8CA","D_SMB",-11.874500,-106.435000,90.000000,top
"D6","SS210","D_SMA",-37.274500,-109.347000,0.000000,top
"D7","SS210","D_SMA",-44.608500,-104.013000,0.000000,top
"D8","SS210","D_SMA",-44.608500,-109.347000,180.000000,top
"D9","SS210","D_SMA",-37.306500,-104.013000,180.000000,top
"D10","SS210","D_SMA",2.825500,-109.093000,0.000000,top
"D11","SS210","D_SMA",-4.540500,-104.013000,0.000000,top
"D12","SS210","D_SMA",-4.476500,-109.093000,180.000000,top
"D13","SS210","D_SMA",2.825500,-104.013000,180.000000,top
"FB2","100 @ 100MHz","L_0805_2012Metric",39.687500,-110.792500,90.000000,top
"FB3","100 @ 100MHz","L_0805_2012Metric",13.731000,-111.887000,0.000000,top
"FB4","100 @ 100MHz","L_0805_2012Metric",26.606500,-111.711500,0.000000,top
"J1","Micro_SD_Card_Det_Hirose_DM3AT","microSD_HC_Hirose_DM3AT-SF-PEJM5",39.941500,-123.571000,0.000000,top
"J6","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",14.668500,-105.791000,90.000000,top
"R1","2k2","R_0603_1608Metric",10.312500,-95.758000,180.000000,top
"R2","10k","R_0603_1608Metric",34.099500,-102.197000,270.000000,top
"R3","10k","R_0603_1608Metric",31.559500,-75.946000,90.000000,top
"R4","1k","R_0603_1608Metric",10.388500,-99.441000,180.000000,top
"R5","184R","R_0603_1608Metric",39.941500,-90.576500,90.000000,top
"R6","10k","R_0603_1608Metric",44.767500,-76.771500,0.000000,top
"R7","47K","R_0402_1005Metric",32.575500,-110.042500,270.000000,top
"R8","47K","R_0402_1005Metric",34.353500,-110.042500,270.000000,top
"R9","47K","R_0402_1005Metric",36.131500,-110.042500,270.000000,top
"R10","47K","R_0402_1005Metric",41.592500,-110.042500,270.000000,top
"R11","47K","R_0402_1005Metric",43.370500,-110.042500,270.000000,top
"R12","47K","R_0402_1005Metric",45.148500,-110.042500,270.000000,top
"R13","220R","R_0603_1608Metric",17.742000,-111.633000,0.000000,top
"R14","220R","R_0603_1608Metric",22.822000,-111.633000,0.000000,top
"R15","10k","R_0603_1608Metric",-24.511000,-75.476000,90.000000,top
"R16","10k","R_0603_1608Metric",-13.551000,-81.978500,0.000000,top
"R17","10k","R_0603_1608Metric",-3.264000,-82.105500,0.000000,top
"R18","10k","R_0603_1608Metric",-3.276500,-80.518000,180.000000,top
"R19","10k","R_0603_1608Metric",-26.098500,-75.438000,270.000000,top
"R20","1k","R_0603_1608Metric",19.024500,-94.932500,0.000000,top
"R21","470R","R_0402_1005Metric",-21.907500,-90.320000,90.000000,top
"R22","470R","R_0402_1005Metric",-20.764500,-90.297000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",35.623500,-68.326000,180.000000,top
"U2","STM32F407VGTx","LQFP-100_14x14mm_P0.5mm",29.527500,-91.567000,90.000000,top
"U3","TXS0102DCT","SSOP-8_2.95x2.8mm_P0.65mm",39.560500,-76.390500,0.000000,top
"U4","PCM5122PW","TSSOP-28_4.4x9.7mm_P0.65mm",-20.891500,-84.963000,90.000000,top
"U5","DRV135","SOIC-8_3.9x4.9mm_P1.27mm",-35.304500,-98.171000,0.000000,top
"U6","DRV135","SOIC-8_3.9x4.9mm_P1.27mm",-0.571500,-98.044000,0.000000,top
"U7","LTC3261","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm_ThermalVias",-21.018500,-100.076000,270.000000,top
"Y1","X503224576MSB4SI","Crystal_SMD_5032-4Pin_5.0x3.2mm",43.625500,-90.313000,0.000000,top
